"car","nitrogen","time","var","rep","tiller","spike","flower","kernel.full","kernel.half","kernel.small"
7,"n1","t1","Apertus",5,"M",9,5,3,0,0
7,"n1","t1","Apertus",5,"M",10,4,2,0,0
7,"n1","t1","Apertus",5,"M",11,4,3,0,0
7,"n1","t1","Apertus",5,"M",12,4,3,0,0
7,"n1","t1","Apertus",5,"M",13,4,3,0,0
7,"n1","t1","Apertus",5,"M",14,4,3,0,0
7,"n1","t1","Apertus",5,"M",15,4,2,0,0
7,"n1","t1","Apertus",5,"M",16,3,1,0,0
7,"n1","t1","Potential",3,"M",1,2,0,0,0
7,"n1","t1","Potential",3,"M",2,2,0,0,0
7,"n1","t1","Potential",3,"M",3,2,1,0,0
7,"n1","t1","Potential",3,"M",4,3,1,0,0
7,"n1","t1","Potential",3,"M",5,4,3,0,0
7,"n1","t1","Potential",3,"M",6,4,3,0,0
7,"n1","t1","Potential",3,"M",7,4,3,0,0
7,"n1","t1","Potential",3,"M",8,4,3,0,0
7,"n1","t1","Potential",3,"M",9,4,3,0,0
7,"n1","t1","Potential",3,"M",10,4,3,0,0
7,"n1","t1","Potential",3,"M",11,4,3,0,0
7,"n1","t1","Potential",3,"M",12,4,3,0,0
7,"n1","t1","Potential",3,"M",13,4,2,0,1
7,"n1","t1","Potential",3,"M",14,4,2,0,0
7,"n1","t1","Potential",3,"M",15,4,2,0,0
7,"n1","t1","Potential",3,"M",16,3,2,0,0
7,"n1","t1","Potential",3,"M",17,3,2,0,0
7,"n1","t1","Potential",3,"M",18,3,2,0,0
7,"n1","t1","Torrid",4,"M",1,2,0,0,0
7,"n1","t1","Torrid",4,"M",2,2,0,0,0
7,"n1","t1","Torrid",4,"M",3,3,1,0,0
7,"n1","t1","Torrid",4,"M",4,3,1,0,1
7,"n1","t1","Torrid",4,"M",5,4,2,0,1
7,"n1","t1","Torrid",4,"M",6,4,3,0,0
7,"n1","t1","Torrid",4,"M",7,4,3,0,0
7,"n1","t1","Torrid",4,"M",8,4,3,0,0
7,"n1","t1","Torrid",4,"M",9,4,3,0,0
7,"n1","t1","Torrid",4,"M",10,5,3,0,0
7,"n1","t1","Torrid",4,"M",11,4,3,0,0
7,"n1","t1","Torrid",4,"M",12,5,2,0,0
7,"n1","t1","Torrid",4,"M",13,4,3,0,0
7,"n1","t1","Torrid",4,"M",14,4,3,0,0
7,"n1","t1","Torrid",4,"M",15,4,3,0,0
7,"n1","t1","Torrid",4,"M",16,4,2,0,1
7,"n1","t1","Torrid",4,"M",17,3,1,0,0
7,"n1","t1","Torrid",4,"t1",1,2,0,0,0
7,"n1","t1","Torrid",4,"t1",2,2,0,0,0
7,"n1","t1","Torrid",4,"t1",3,2,0,0,0
7,"n1","t1","Torrid",4,"t1",4,2,0,0,0
7,"n1","t1","Torrid",4,"t1",5,2,0,0,0
7,"n1","t1","Torrid",4,"t1",6,2,0,0,0
7,"n1","t1","Torrid",4,"t1",7,2,0,0,0
7,"n1","t1","Torrid",4,"t1",8,3,0,0,0
7,"n1","t1","Torrid",4,"t1",9,3,0,0,0
7,"n1","t1","Torrid",4,"t1",10,2,0,0,0
7,"n1","t1","Torrid",4,"t1",11,2,0,0,0
7,"n1","t1","Torrid",4,"t1",12,2,0,0,0
7,"n1","t1","Torrid",4,"t1",13,2,0,0,0
7,"n1","t1","Apertus",3,"M",1,2,0,0,0
7,"n1","t1","Apertus",3,"M",2,2,0,0,0
7,"n1","t1","Apertus",3,"M",3,2,0,0,0
7,"n1","t1","Apertus",3,"M",4,4,2,0,0
7,"n1","t1","Apertus",3,"M",5,4,3,0,0
7,"n1","t1","Apertus",3,"M",6,5,3,0,0
7,"n1","t1","Apertus",3,"M",7,5,3,0,0
7,"n1","t1","Apertus",3,"M",8,5,3,0,0
7,"n1","t1","Apertus",3,"M",9,5,3,0,0
7,"n1","t1","Apertus",3,"M",10,4,3,0,0
7,"n1","t1","Apertus",3,"M",11,4,3,0,0
7,"n1","t1","Apertus",3,"M",12,4,3,0,0
7,"n1","t1","Apertus",3,"M",13,4,3,0,0
7,"n1","t1","Apertus",3,"M",14,4,2,0,0
7,"n1","t1","Apertus",3,"M",15,3,0,0,0
7,"n1","t1","Apertus",3,"M",16,2,0,0,0
7,"n1","t1","Torrid",3,"M",1,2,0,0,0
7,"n1","t1","Torrid",3,"M",2,2,0,0,0
7,"n1","t1","Torrid",3,"M",3,2,1,0,0
7,"n1","t1","Torrid",3,"M",4,4,3,0,0
7,"n1","t1","Torrid",3,"M",5,4,3,0,0
7,"n1","t1","Torrid",3,"M",6,5,3,0,0
7,"n1","t1","Torrid",3,"M",7,5,4,0,0
7,"n1","t1","Torrid",3,"M",8,5,3,0,0
7,"n1","t1","Torrid",3,"M",9,5,4,0,0
7,"n1","t1","Torrid",3,"M",10,5,4,0,0
7,"n1","t1","Torrid",3,"M",11,5,4,0,0
7,"n1","t1","Torrid",3,"M",12,5,3,0,0
7,"n1","t1","Torrid",3,"M",13,4,2,0,1
7,"n1","t1","Torrid",3,"M",14,4,3,0,0
7,"n1","t1","Torrid",3,"M",15,4,3,0,0
7,"n1","t1","Torrid",3,"M",16,4,3,0,0
7,"n1","t1","Torrid",3,"M",17,3,1,0,0
7,"n1","t1","Torrid",3,"M",18,2,0,0,0
7,"n1","t1","Pioneer",4,"M",1,2,0,0,0
7,"n1","t1","Pioneer",4,"M",2,2,0,0,0
7,"n1","t1","Pioneer",4,"M",3,2,0,0,0
7,"n1","t1","Pioneer",4,"M",4,2,0,0,0
7,"n1","t1","Pioneer",4,"M",5,2,0,0,0
7,"n1","t1","Pioneer",4,"M",6,3,2,0,0
7,"n1","t1","Pioneer",4,"M",7,3,2,0,0
7,"n1","t1","Pioneer",4,"M",8,3,2,0,0
7,"n1","t1","Pioneer",4,"M",9,3,2,0,0
7,"n1","t1","Pioneer",4,"M",10,4,2,0,0
7,"n1","t1","Pioneer",4,"M",11,4,2,0,0
7,"n1","t1","Pioneer",4,"M",12,4,2,0,0
7,"n1","t1","Pioneer",4,"M",13,4,2,0,0
7,"n1","t1","Pioneer",4,"M",14,3,2,0,0
7,"n1","t1","Pioneer",4,"M",15,3,2,0,0
7,"n1","t1","Pioneer",4,"M",16,3,2,0,0
7,"n1","t1","Pioneer",4,"M",17,3,2,0,0
7,"n1","t1","Pioneer",4,"M",18,3,1,0,0
7,"n1","t1","Pioneer",4,"t1",1,2,0,0,0
7,"n1","t1","Pioneer",4,"t1",2,2,0,0,0
7,"n1","t1","Pioneer",4,"t1",3,2,0,0,0
7,"n1","t1","Pioneer",4,"t1",4,2,0,0,0
7,"n1","t1","Pioneer",4,"t1",5,2,0,0,0
7,"n1","t1","Pioneer",4,"t1",6,2,1,0,0
7,"n1","t1","Pioneer",4,"t1",7,2,1,0,0
7,"n1","t1","Pioneer",4,"t1",8,3,2,0,0
7,"n1","t1","Pioneer",4,"t1",9,3,2,0,0
7,"n1","t1","Pioneer",4,"t1",10,3,2,0,0
7,"n1","t1","Pioneer",4,"t1",11,3,2,0,0
7,"n1","t1","Pioneer",4,"t1",12,3,2,0,0
7,"n1","t1","Pioneer",4,"t1",13,3,2,0,0
7,"n1","t1","Pioneer",4,"t1",14,2,1,0,0
7,"n1","t1","Pioneer",4,"t1",15,2,0,0,0
7,"n1","t1","Pioneer",4,"t1",16,2,1,0,0
7,"n1","t1","Pioneer",4,"t1",17,2,0,0,0
7,"n1","t1","Pioneer",4,"t1",18,2,0,0,0
7,"n1","t1","Pioneer",5,"t1",1,2,0,0,0
7,"n1","t1","Pioneer",5,"t1",2,2,0,0,0
7,"n1","t1","Pioneer",5,"t1",3,2,0,0,0
7,"n1","t1","Pioneer",5,"t1",4,2,0,0,0
7,"n1","t1","Pioneer",5,"t1",5,3,2,0,0
7,"n1","t1","Pioneer",5,"t1",6,3,2,0,0
7,"n1","t1","Pioneer",5,"t1",7,3,0,0,0
7,"n1","t1","Pioneer",5,"t1",8,3,2,0,0
7,"n1","t1","Pioneer",5,"t1",9,3,2,0,0
7,"n1","t1","Pioneer",5,"t1",10,3,2,0,0
7,"n1","t1","Pioneer",5,"t1",11,3,1,0,0
7,"n1","t1","Pioneer",5,"t1",12,3,1,0,0
7,"n1","t1","Pioneer",5,"t1",13,3,1,0,0
7,"n1","t1","Pioneer",5,"t1",14,3,0,0,0
7,"n1","t1","Pioneer",5,"t1",15,3,0,0,0
7,"n1","t1","Pioneer",5,"t1",16,3,0,0,0
7,"n1","t1","Pioneer",5,"t1",17,2,1,0,0
7,"n1","t1","Pioneer",5,"t1",18,0,0,0,0
7,"n1","t1","Pioneer",5,"t2",1,2,0,0,0
7,"n1","t1","Pioneer",5,"t2",2,2,0,0,0
7,"n1","t1","Pioneer",5,"t2",3,2,0,0,0
7,"n1","t1","Pioneer",5,"t2",4,2,0,0,0
7,"n1","t1","Pioneer",5,"t2",5,2,0,0,0
7,"n1","t1","Pioneer",5,"t2",6,2,0,0,0
7,"n1","t1","Pioneer",5,"t2",7,2,0,0,0
7,"n1","t1","Pioneer",5,"t2",8,2,1,0,0
7,"n1","t1","Pioneer",5,"t2",9,3,1,0,0
7,"n1","t1","Pioneer",5,"t2",10,3,0,0,0
7,"n1","t1","Pioneer",5,"t2",11,3,0,0,0
7,"n1","t1","Pioneer",5,"t2",12,2,0,0,0
7,"n1","t1","Pioneer",5,"t2",13,2,0,0,0
7,"n1","t1","Pioneer",5,"t2",14,2,0,0,0
7,"n1","t1","Pioneer",5,"t2",15,2,0,0,0
7,"n1","t1","Alves",4,"M",1,2,0,0,0
7,"n1","t1","Alves",4,"M",2,2,0,0,0
7,"n1","t1","Alves",4,"M",3,3,1,0,0
7,"n1","t1","Alves",4,"M",4,3,2,0,0
7,"n1","t1","Alves",4,"M",5,4,3,0,0
7,"n1","t1","Alves",4,"M",6,4,3,0,0
7,"n1","t1","Alves",4,"M",7,4,3,0,0
7,"n1","t1","Alves",4,"M",8,4,3,0,0
7,"n1","t1","Alves",4,"M",9,4,3,0,0
7,"n1","t1","Alves",4,"M",10,4,3,0,0
7,"n1","t1","Alves",4,"M",11,4,3,0,0
7,"n1","t1","Alves",4,"M",12,4,2,0,1
7,"n1","t1","Alves",4,"M",13,4,3,0,0
7,"n1","t1","Alves",4,"M",14,4,2,0,1
7,"n1","t1","Alves",4,"M",15,4,2,0,0
7,"n1","t1","Alves",4,"M",16,4,2,0,0
7,"n1","t1","Alves",4,"M",17,3,2,0,0
7,"n1","t1","Alves",4,"M",18,3,2,0,0
7,"n1","t1","Alves",4,"M",19,3,2,0,0
7,"n1","t1","Alves",4,"t1",1,2,0,0,0
7,"n1","t1","Alves",4,"t1",2,2,0,0,0
7,"n1","t1","Alves",4,"t1",3,2,0,0,0
7,"n1","t1","Alves",4,"t1",4,2,0,0,0
7,"n1","t1","Alves",4,"t1",5,2,1,0,0
7,"n1","t1","Alves",4,"t1",6,3,2,0,0
7,"n1","t1","Alves",4,"t1",7,3,2,0,0
7,"n1","t1","Alves",4,"t1",8,3,1,0,0
7,"n1","t1","Alves",4,"t1",9,3,2,0,0
7,"n1","t1","Alves",4,"t1",10,4,1,0,0
7,"n1","t1","Alves",4,"t1",11,3,0,0,0
7,"n1","t1","Alves",4,"t1",12,4,0,0,0
7,"n1","t1","Alves",4,"t1",13,3,2,0,0
7,"n1","t1","Alves",4,"t1",14,3,0,0,0
7,"n1","t1","Alves",4,"t1",15,3,0,0,0
7,"n1","t1","Alves",4,"t1",16,3,0,0,0
7,"n1","t1","Alves",4,"t1",17,2,1,0,0
7,"n1","t1","Alves",4,"t1",18,3,0,0,0
7,"n1","t1","Potential",4,"M",1,2,0,0,0
7,"n1","t1","Potential",4,"M",2,2,0,0,0
7,"n1","t1","Potential",4,"M",3,2,0,0,0
7,"n1","t1","Potential",4,"M",4,2,0,0,0
7,"n1","t1","Potential",4,"M",5,2,1,0,0
7,"n1","t1","Potential",4,"M",6,3,2,0,0
7,"n1","t1","Potential",4,"M",7,3,2,0,0
7,"n1","t1","Potential",4,"M",8,3,2,0,0
7,"n1","t1","Potential",4,"M",9,3,2,0,0
7,"n1","t1","Potential",4,"M",10,4,3,0,0
7,"n1","t1","Potential",4,"M",11,4,3,0,0
7,"n1","t1","Potential",4,"M",12,4,2,0,1
7,"n1","t1","Potential",4,"M",13,3,2,0,0
7,"n1","t1","Potential",4,"M",14,3,2,0,0
7,"n1","t1","Potential",4,"M",15,3,2,0,0
7,"n1","t1","Potential",4,"M",16,2,1,0,0
7,"n1","t1","Potential",4,"M",17,2,1,0,0
7,"n1","t1","Potential",4,"t1",1,2,0,0,0
7,"n1","t1","Potential",4,"t1",2,2,0,0,0
7,"n1","t1","Potential",4,"t1",3,2,0,0,0
7,"n1","t1","Potential",4,"t1",4,2,0,0,0
7,"n1","t1","Potential",4,"t1",5,2,0,0,0
7,"n1","t1","Potential",4,"t1",6,2,1,0,0
7,"n1","t1","Potential",4,"t1",7,2,2,0,0
7,"n1","t1","Potential",4,"t1",8,3,1,0,1
7,"n1","t1","Potential",4,"t1",9,3,2,0,0
7,"n1","t1","Potential",4,"t1",10,3,2,0,0
7,"n1","t1","Potential",4,"t1",11,3,2,0,0
7,"n1","t1","Potential",4,"t1",12,3,2,0,0
7,"n1","t1","Potential",4,"t1",13,3,1,0,0
7,"n1","t1","Potential",4,"t1",14,2,0,0,0
7,"n1","t1","Potential",4,"t1",15,2,0,0,0
7,"n1","t1","Potential",4,"t1",16,2,0,0,0
7,"n1","t1","Potential",4,"t1",17,2,0,0,0
7,"n1","t1","Potential",4,"t2",1,2,0,0,0
7,"n1","t1","Potential",4,"t2",2,2,0,0,0
7,"n1","t1","Potential",4,"t2",3,2,0,0,0
7,"n1","t1","Potential",4,"t2",4,2,0,0,0
7,"n1","t1","Potential",4,"t2",5,2,0,0,0
7,"n1","t1","Potential",4,"t2",6,2,0,0,0
7,"n1","t1","Potential",4,"t2",7,2,0,0,0
7,"n1","t1","Potential",4,"t2",8,2,1,0,0
7,"n1","t1","Potential",4,"t2",9,3,2,0,0
7,"n1","t1","Potential",4,"t2",10,3,1,0,0
7,"n1","t1","Potential",4,"t2",11,3,2,0,0
7,"n1","t1","Potential",4,"t2",12,2,0,0,0
7,"n1","t1","Potential",4,"t2",13,2,0,0,0
7,"n1","t1","Potential",4,"t2",14,2,0,0,0
7,"n1","t1","Potential",4,"t2",15,2,0,0,0
7,"n1","t1","Potential",4,"t2",16,2,0,0,0
7,"n1","t1","Esket",4,"M",1,2,0,0,0
7,"n1","t1","Esket",4,"M",2,2,0,0,0
7,"n1","t1","Esket",4,"M",3,2,0,0,0
7,"n1","t1","Esket",4,"M",4,2,0,0,0
7,"n1","t1","Esket",4,"M",5,2,0,0,0
7,"n1","t1","Esket",4,"M",6,4,3,0,0
7,"n1","t1","Esket",4,"M",7,4,2,0,0
7,"n1","t1","Esket",4,"M",8,5,3,0,0
7,"n1","t1","Esket",4,"M",9,5,3,0,0
7,"n1","t1","Esket",4,"M",10,5,3,0,0
7,"n1","t1","Esket",4,"M",11,5,3,0,0
7,"n1","t1","Esket",4,"M",12,5,3,0,0
7,"n1","t1","Esket",4,"M",13,5,3,0,0
7,"n1","t1","Esket",4,"M",14,5,3,0,0
7,"n1","t1","Esket",4,"M",15,4,2,0,0
7,"n1","t1","Esket",4,"M",16,4,3,0,0
7,"n1","t1","Esket",4,"M",17,4,2,0,1
7,"n1","t1","Esket",4,"M",18,4,2,0,1
7,"n1","t1","Esket",4,"M",19,4,2,0,1
7,"n1","t1","Esket",4,"M",20,3,2,0,0
7,"n1","t1","Esket",4,"M",21,3,1,0,0
7,"n1","t1","Esket",4,"M",22,3,2,0,0
7,"n1","t1","Esket",4,"t1",1,2,0,0,0
7,"n1","t1","Esket",4,"t1",2,2,0,0,0
7,"n1","t1","Esket",4,"t1",3,2,0,0,0
7,"n1","t1","Esket",4,"t1",4,2,0,0,0
7,"n1","t1","Esket",4,"t1",5,2,0,0,0
7,"n1","t1","Esket",4,"t1",6,2,0,0,0
7,"n1","t1","Esket",4,"t1",7,3,0,0,0
7,"n1","t1","Esket",4,"t1",8,4,0,0,0
7,"n1","t1","Esket",4,"t1",9,4,0,0,0
7,"n1","t1","Esket",4,"t1",10,4,0,0,0
7,"n1","t1","Esket",4,"t1",11,4,0,0,0
7,"n1","t1","Esket",4,"t1",12,4,0,0,0
7,"n1","t1","Esket",4,"t1",13,4,0,0,0
7,"n1","t1","Esket",4,"t1",14,3,0,0,0
7,"n1","t1","Esket",4,"t1",15,3,0,0,0
7,"n1","t1","Esket",4,"t1",16,3,0,0,0
7,"n1","t1","Esket",4,"t1",17,2,0,0,0
7,"n1","t1","Esket",4,"t1",18,2,0,0,0
7,"n1","t1","Esket",4,"t1",19,2,0,0,0
7,"n1","t1","Torrid",5,"M",1,2,0,0,0
7,"n1","t1","Torrid",5,"M",2,2,0,0,0
7,"n1","t1","Torrid",5,"M",3,2,1,0,0
7,"n1","t1","Torrid",5,"M",4,4,3,0,0
7,"n1","t1","Torrid",5,"M",5,4,3,0,0
7,"n1","t1","Torrid",5,"M",6,4,3,0,0
7,"n1","t1","Torrid",5,"M",7,4,3,0,0
7,"n1","t1","Torrid",5,"M",8,4,2,0,1
7,"n1","t1","Torrid",5,"M",9,5,3,0,0
7,"n1","t1","Torrid",5,"M",10,4,3,0,0
7,"n1","t1","Torrid",5,"M",11,5,2,0,1
7,"n1","t1","Torrid",5,"M",12,4,3,0,0
7,"n1","t1","Torrid",5,"M",13,4,3,0,0
7,"n1","t1","Torrid",5,"M",14,4,3,0,0
7,"n1","t1","Torrid",5,"M",15,4,3,0,0
7,"n1","t1","Torrid",5,"M",16,4,3,0,0
7,"n1","t1","Torrid",5,"M",17,4,1,0,1
7,"n1","t1","Torrid",5,"M",18,3,1,0,0
7,"n1","t1","Potential",5,"M",1,2,0,0,0
7,"n1","t1","Potential",5,"M",2,2,0,0,0
7,"n1","t1","Potential",5,"M",3,2,0,0,0
7,"n1","t1","Potential",5,"M",4,2,1,0,0
7,"n1","t1","Potential",5,"M",5,3,1,0,0
7,"n1","t1","Potential",5,"M",6,3,2,0,0
7,"n1","t1","Potential",5,"M",7,3,2,0,0
7,"n1","t1","Potential",5,"M",8,4,2,0,0
7,"n1","t1","Potential",5,"M",9,4,2,0,0
7,"n1","t1","Potential",5,"M",10,4,3,0,0
7,"n1","t1","Potential",5,"M",11,4,2,0,0
7,"n1","t1","Potential",5,"M",12,3,1,0,0
7,"n1","t1","Potential",5,"M",13,4,2,0,0
7,"n1","t1","Potential",5,"M",14,3,2,0,0
7,"n1","t1","Potential",5,"M",15,3,2,0,0
7,"n1","t1","Potential",5,"M",16,3,2,0,0
7,"n1","t1","Potential",5,"M",17,3,1,0,0
7,"n1","t1","Potential",5,"M",18,3,2,0,0
7,"n1","t1","Potential",5,"M",19,3,2,0,0
7,"n1","t1","Potential",5,"M",20,2,1,0,0
7,"n1","t1","Potential",5,"t1",1,2,0,0,0
7,"n1","t1","Potential",5,"t1",2,2,0,0,0
7,"n1","t1","Potential",5,"t1",3,2,0,0,0
7,"n1","t1","Potential",5,"t1",4,2,0,0,0
7,"n1","t1","Potential",5,"t1",5,2,0,0,0
7,"n1","t1","Potential",5,"t1",6,2,0,0,0
7,"n1","t1","Potential",5,"t1",7,3,1,0,0
7,"n1","t1","Potential",5,"t1",8,3,2,0,0
7,"n1","t1","Potential",5,"t1",9,3,2,0,0
7,"n1","t1","Potential",5,"t1",10,3,1,0,0
7,"n1","t1","Potential",5,"t1",11,3,2,0,0
7,"n1","t1","Potential",5,"t1",12,3,2,0,0
7,"n1","t1","Potential",5,"t1",13,3,2,0,0
7,"n1","t1","Potential",5,"t1",14,3,1,0,0
7,"n1","t1","Potential",5,"t1",15,3,1,0,0
7,"n1","t1","Potential",5,"t1",16,3,0,0,0
7,"n1","t1","Potential",5,"t1",17,3,0,0,0
7,"n1","t1","Potential",5,"t1",18,3,0,0,0
7,"n1","t1","Potential",5,"t1",19,2,0,0,0
7,"n1","t1","Potential",5,"t1",20,2,0,0,0
7,"n1","t1","Potential",5,"t1",21,2,0,0,0
7,"n1","t1","Torrid",2,"t1",1,2,0,0,0
7,"n1","t1","Torrid",2,"t1",2,2,0,0,0
7,"n1","t1","Torrid",2,"t1",3,2,0,0,0
7,"n1","t1","Torrid",2,"t1",4,2,0,0,0
7,"n1","t1","Torrid",2,"t1",5,2,0,0,0
7,"n1","t1","Torrid",2,"t1",6,2,0,0,0
7,"n1","t1","Torrid",2,"t1",7,2,0,0,0
7,"n1","t1","Torrid",2,"t1",8,2,0,0,0
7,"n1","t1","Torrid",2,"t1",9,2,1,0,0
7,"n1","t1","Torrid",2,"t1",10,3,1,0,0
7,"n1","t1","Torrid",2,"t1",11,3,2,0,0
7,"n1","t1","Torrid",2,"t1",12,3,2,0,0
7,"n1","t1","Torrid",2,"t1",13,3,0,0,0
7,"n1","t1","Torrid",2,"t1",14,3,0,0,0
7,"n1","t1","Torrid",2,"t1",15,2,0,1,0
7,"n1","t1","Torrid",2,"t1",16,2,0,0,0
7,"n1","t1","Torrid",2,"t1",17,2,0,0,0
7,"n1","t1","Pioneer",3,"M",1,2,0,0,0
7,"n1","t1","Pioneer",3,"M",2,2,0,0,0
7,"n1","t1","Pioneer",3,"M",3,2,0,0,0
7,"n1","t1","Pioneer",3,"M",4,2,0,0,0
7,"n1","t1","Pioneer",3,"M",5,2,1,0,0
7,"n1","t1","Pioneer",3,"M",6,3,2,0,0
7,"n1","t1","Pioneer",3,"M",7,3,2,0,0
7,"n1","t1","Pioneer",3,"M",8,3,2,0,0
7,"n1","t1","Pioneer",3,"M",9,3,1,0,0
7,"n1","t1","Pioneer",3,"M",10,3,2,0,0
7,"n1","t1","Pioneer",3,"M",11,3,2,0,0
7,"n1","t1","Pioneer",3,"M",12,3,1,0,0
7,"n1","t1","Pioneer",3,"M",13,3,1,0,0
7,"n1","t1","Pioneer",3,"M",14,3,2,0,0
7,"n1","t1","Pioneer",3,"M",15,3,1,0,0
7,"n1","t1","Pioneer",3,"M",16,2,1,0,0
7,"n1","t1","Pioneer",3,"M",17,2,0,0,0
7,"n1","t1","Pioneer",3,"t1",1,2,0,0,0
7,"n1","t1","Pioneer",3,"t1",2,2,0,0,0
7,"n1","t1","Pioneer",3,"t1",3,2,0,0,0
7,"n1","t1","Pioneer",3,"t1",4,2,0,0,0
7,"n1","t1","Pioneer",3,"t1",5,2,0,0,0
7,"n1","t1","Pioneer",3,"t1",6,2,0,0,1
7,"n1","t1","Pioneer",3,"t1",7,3,2,0,0
7,"n1","t1","Pioneer",3,"t1",8,3,2,0,0
7,"n1","t1","Pioneer",3,"t1",9,2,1,0,0
7,"n1","t1","Pioneer",3,"t1",10,3,2,0,0
7,"n1","t1","Pioneer",3,"t1",11,3,2,0,0
7,"n1","t1","Pioneer",3,"t1",12,3,1,0,0
7,"n1","t1","Pioneer",3,"t1",13,3,1,0,0
7,"n1","t1","Pioneer",3,"t1",14,2,0,0,0
7,"n1","t1","Pioneer",3,"t1",15,2,1,0,0
7,"n1","t1","Pioneer",3,"t1",16,2,0,0,0
7,"n1","t1","Pioneer",3,"t1",17,2,0,0,0
7,"n1","t1","Pioneer",2,"M",1,2,0,0,0
7,"n1","t1","Potential",2,"M",2,2,0,0,0
7,"n1","t1","Potential",2,"M",3,2,0,0,0
7,"n1","t1","Potential",2,"M",4,2,1,0,0
7,"n1","t1","Potential",2,"M",5,3,2,0,0
7,"n1","t1","Potential",2,"M",6,3,2,0,0
7,"n1","t1","Potential",2,"M",7,3,2,0,0
7,"n1","t1","Potential",2,"M",8,3,2,0,0
7,"n1","t1","Potential",2,"M",9,3,2,0,0
7,"n1","t1","Potential",2,"M",10,4,3,0,0
7,"n1","t1","Potential",2,"M",11,4,3,0,0
7,"n1","t1","Potential",2,"M",12,4,2,0,0
7,"n1","t1","Potential",2,"M",13,4,2,0,0
7,"n1","t1","Potential",2,"M",14,4,2,0,0
7,"n1","t1","Potential",2,"M",15,4,1,0,0
7,"n1","t1","Potential",2,"M",16,3,1,0,0
7,"n1","t1","Potential",2,"M",17,3,1,0,0
7,"n1","t1","Potential",2,"M",18,2,0,0,0
7,"n1","t1","Potential",2,"M",19,2,1,0,0
7,"n1","t1","Potential",2,"t1",1,2,0,0,0
7,"n1","t1","Potential",2,"t1",2,2,0,0,0
7,"n1","t1","Potential",2,"t1",3,2,0,0,0
7,"n1","t1","Potential",2,"t1",4,2,1,0,0
7,"n1","t1","Potential",2,"t1",5,3,1,0,0
7,"n1","t1","Potential",2,"t1",6,3,1,0,0
7,"n1","t1","Potential",2,"t1",7,3,1,0,0
7,"n1","t1","Potential",2,"t1",8,3,1,0,0
7,"n1","t1","Potential",2,"t1",9,3,1,0,0
7,"n1","t1","Potential",2,"t1",10,3,2,0,0
7,"n1","t1","Potential",2,"t1",11,3,2,0,0
7,"n1","t1","Potential",2,"t1",12,3,2,0,0
7,"n1","t1","Potential",2,"t1",13,3,1,0,0
7,"n1","t1","Potential",2,"t1",14,3,2,0,0
7,"n1","t1","Potential",2,"t1",15,3,1,0,0
7,"n1","t1","Potential",2,"t1",16,3,1,0,0
7,"n1","t1","Potential",2,"t1",17,3,1,0,0
7,"n1","t1","Potential",2,"t1",18,2,1,0,0
7,"n1","t1","Potential",2,"t1",19,2,1,0,0
7,"n1","t1","Esket",3,"M",1,2,0,0,0
7,"n1","t1","Esket",3,"M",2,2,0,0,0
7,"n1","t1","Esket",3,"M",3,2,0,0,0
7,"n1","t1","Esket",3,"M",4,3,1,0,0
7,"n1","t1","Esket",3,"M",5,4,3,0,0
7,"n1","t1","Esket",3,"M",6,4,3,0,0
7,"n1","t1","Esket",3,"M",7,4,3,0,0
7,"n1","t1","Esket",3,"M",8,4,3,0,0
7,"n1","t1","Esket",3,"M",9,5,3,0,0
7,"n1","t1","Esket",3,"M",10,5,3,0,0
7,"n1","t1","Esket",3,"M",11,5,3,0,0
7,"n1","t1","Esket",3,"M",12,5,3,0,0
7,"n1","t1","Esket",3,"M",13,5,3,0,0
7,"n1","t1","Esket",3,"M",14,5,3,0,0
7,"n1","t1","Esket",3,"M",15,5,3,0,0
7,"n1","t1","Esket",3,"M",16,4,3,0,0
7,"n1","t1","Esket",3,"M",17,4,3,0,0
7,"n1","t1","Esket",3,"M",18,4,3,0,0
7,"n1","t1","Esket",3,"M",19,4,2,0,0
7,"n1","t1","Esket",3,"M",20,3,2,0,0
7,"n1","t1","Alves",3,"M",1,3,0,0,0
7,"n1","t1","Alves",3,"M",2,2,0,0,0
7,"n1","t1","Alves",3,"M",3,3,2,0,0
7,"n1","t1","Alves",3,"M",4,4,3,0,0
7,"n1","t1","Alves",3,"M",5,4,3,0,0
7,"n1","t1","Alves",3,"M",6,4,3,0,0
7,"n1","t1","Alves",3,"M",7,4,3,0,0
7,"n1","t1","Alves",3,"M",8,4,3,0,0
7,"n1","t1","Alves",3,"M",9,4,3,0,0
7,"n1","t1","Alves",3,"M",10,4,3,0,0
7,"n1","t1","Alves",3,"M",11,4,3,0,0
7,"n1","t1","Alves",3,"M",12,4,3,0,0
7,"n1","t1","Alves",3,"M",13,4,2,0,0
7,"n1","t1","Alves",3,"M",14,4,2,0,1
7,"n1","t1","Alves",3,"M",15,4,2,0,0
7,"n1","t1","Alves",3,"M",16,3,2,0,0
7,"n1","t1","Alves",3,"M",17,3,2,0,0
7,"n1","t1","Alves",3,"t1",1,2,0,0,0
7,"n1","t1","Alves",3,"t1",2,2,0,0,0
7,"n1","t1","Alves",3,"t1",3,2,0,0,0
7,"n1","t1","Alves",3,"t1",4,2,0,0,0
7,"n1","t1","Alves",3,"t1",5,2,0,0,0
7,"n1","t1","Alves",3,"t1",6,3,2,0,0
7,"n1","t1","Alves",3,"t1",7,3,2,0,0
